idx,seconds,feat__type,hog__block_norm,hog__cells_per_block,hog__orientations,hog__pixels_per_cell,pca__n_components,svm__C,mean_accuracy,fold_scores,fold_mean,fold_std,sift__contrastThreshold,sift__edgeThreshold,sift__n_features,sift__sigma
136,159.52945685386658,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",128,0.002,0.7629372304743651,"[0.7614997604216579, 0.7643747005270723]",0.7629372304743651,0.0014374700527072237,,,,
137,162.45461893081665,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",128,0.25,0.765991854336368,"[0.764973646382367, 0.7670100622903689]",0.765991854336368,0.0010182079540009825,,,,
138,162.79619884490967,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",128,1.0,0.7660517489218974,"[0.764973646382367, 0.7671298514614279]",0.7660517489218974,0.0010781025395304455,,,,
139,162.9347279071808,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",128,4.0,0.7660517489218974,"[0.764973646382367, 0.7671298514614279]",0.7660517489218974,0.0010781025395304455,,,,
140,165.35884594917297,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,0.002,0.768806899856253,"[0.7690464781983709, 0.7685673215141351]",0.768806899856253,0.00023957834211790763,,,,
141,165.2254388332367,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,0.25,0.7726401533301389,"[0.77252036415908, 0.7727599425011978]",0.7726401533301389,0.00011978917105892606,,,,
142,165.8000991344452,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,1.0,0.7725802587446094,"[0.7724005749880211, 0.7727599425011978]",0.7725802587446094,0.0001796837565883891,,,,
143,165.29377675056458,hog,L2-Hys,"(3, 3)",12.0,"(16, 16)",256,4.0,0.7725802587446094,"[0.7724005749880211, 0.7727599425011978]",0.7725802587446094,0.0001796837565883891,,,,
144,193.4695427417755,sift,,,,,128,0.002,0.7246645903210349,"[0.7283181600383325, 0.7210110206037375]",0.7246645903210349,0.0036535697172975223,0.02,5.0,0.0,1.2
145,194.0078330039978,sift,,,,,128,0.25,0.7287973167225683,"[0.7301149976042166, 0.72747963584092]",0.7287973167225683,0.0013176808816482977,0.02,5.0,0.0,1.2
146,195.12472009658813,sift,,,,,128,1.0,0.7289171058936272,"[0.7302347867752755, 0.7275994250119789]",0.7289171058936272,0.0013176808816482977,0.02,5.0,0.0,1.2
147,195.78243589401245,sift,,,,,128,4.0,0.7288572113080978,"[0.7301149976042166, 0.7275994250119789]",0.7288572113080978,0.0012577862961188346,0.02,5.0,0.0,1.2
148,196.65046405792236,sift,,,,,128,0.002,0.7160397700047916,"[0.7198131288931481, 0.7122664111164351]",0.7160397700047916,0.003773358888356504,0.02,5.0,0.0,1.6
149,196.27593898773193,sift,,,,,128,0.25,0.7206516530905607,"[0.7225682798275036, 0.7187350263536176]",0.7206516530905607,0.0019166267369429835,0.02,5.0,0.0,1.6
150,198.29027605056763,sift,,,,,128,1.0,0.7205917585050312,"[0.7226880689985625, 0.7184954480114998]",0.7205917585050312,0.0020963104935313726,0.02,5.0,0.0,1.6
151,198.24184489250183,sift,,,,,128,4.0,0.7204719693339723,"[0.7225682798275036, 0.7183756588404409]",0.7204719693339723,0.0020963104935313726,0.02,5.0,0.0,1.6
152,198.56015825271606,sift,,,,,128,0.002,0.7159199808337326,"[0.7163392429324389, 0.7155007187350264]",0.7159199808337326,0.0004192620987062412,0.02,5.0,0.0,1.8
153,199.34436917304993,sift,,,,,128,0.25,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,0.0,1.8
154,197.97130680084229,sift,,,,,128,1.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,0.0,1.8
155,200.20887923240662,sift,,,,,128,4.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,0.0,1.8
156,199.08765697479248,sift,,,,,128,0.002,0.7246645903210349,"[0.7283181600383325, 0.7210110206037375]",0.7246645903210349,0.0036535697172975223,0.02,5.0,600.0,1.2
157,199.78405213356018,sift,,,,,128,0.25,0.7287973167225683,"[0.7301149976042166, 0.72747963584092]",0.7287973167225683,0.0013176808816482977,0.02,5.0,600.0,1.2
158,200.02285289764404,sift,,,,,128,1.0,0.7289171058936272,"[0.7302347867752755, 0.7275994250119789]",0.7289171058936272,0.0013176808816482977,0.02,5.0,600.0,1.2
159,210.64522290229797,sift,,,,,128,4.0,0.7288572113080978,"[0.7301149976042166, 0.7275994250119789]",0.7288572113080978,0.0012577862961188346,0.02,5.0,600.0,1.2
160,229.8851900100708,sift,,,,,128,0.002,0.7160397700047916,"[0.7198131288931481, 0.7122664111164351]",0.7160397700047916,0.003773358888356504,0.02,5.0,600.0,1.6
161,233.9261200428009,sift,,,,,128,0.25,0.7206516530905607,"[0.7225682798275036, 0.7187350263536176]",0.7206516530905607,0.0019166267369429835,0.02,5.0,600.0,1.6
162,210.83176803588867,sift,,,,,128,1.0,0.7205917585050312,"[0.7226880689985625, 0.7184954480114998]",0.7205917585050312,0.0020963104935313726,0.02,5.0,600.0,1.6
163,211.4715678691864,sift,,,,,128,4.0,0.7204719693339723,"[0.7225682798275036, 0.7183756588404409]",0.7204719693339723,0.0020963104935313726,0.02,5.0,600.0,1.6
164,210.22777199745178,sift,,,,,128,0.002,0.7159199808337326,"[0.7163392429324389, 0.7155007187350264]",0.7159199808337326,0.0004192620987062412,0.02,5.0,600.0,1.8
165,209.98736310005188,sift,,,,,128,0.25,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,600.0,1.8
166,208.97095608711243,sift,,,,,128,1.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,600.0,1.8
167,210.62217497825623,sift,,,,,128,4.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,600.0,1.8
168,207.87779116630554,sift,,,,,128,0.002,0.7246645903210349,"[0.7283181600383325, 0.7210110206037375]",0.7246645903210349,0.0036535697172975223,0.02,5.0,1000.0,1.2
169,222.54313683509827,sift,,,,,128,0.25,0.7287973167225683,"[0.7301149976042166, 0.72747963584092]",0.7287973167225683,0.0013176808816482977,0.02,5.0,1000.0,1.2
170,220.85296893119812,sift,,,,,128,1.0,0.7289171058936272,"[0.7302347867752755, 0.7275994250119789]",0.7289171058936272,0.0013176808816482977,0.02,5.0,1000.0,1.2
171,241.11908197402954,sift,,,,,128,4.0,0.7288572113080978,"[0.7301149976042166, 0.7275994250119789]",0.7288572113080978,0.0012577862961188346,0.02,5.0,1000.0,1.2
172,228.48991990089417,sift,,,,,128,0.002,0.7160397700047916,"[0.7198131288931481, 0.7122664111164351]",0.7160397700047916,0.003773358888356504,0.02,5.0,1000.0,1.6
173,233.3458776473999,sift,,,,,128,0.25,0.7206516530905607,"[0.7225682798275036, 0.7187350263536176]",0.7206516530905607,0.0019166267369429835,0.02,5.0,1000.0,1.6
174,237.36858797073364,sift,,,,,128,1.0,0.7205917585050312,"[0.7226880689985625, 0.7184954480114998]",0.7205917585050312,0.0020963104935313726,0.02,5.0,1000.0,1.6
175,213.24595475196838,sift,,,,,128,4.0,0.7204719693339723,"[0.7225682798275036, 0.7183756588404409]",0.7204719693339723,0.0020963104935313726,0.02,5.0,1000.0,1.6
176,215.55404090881348,sift,,,,,128,0.002,0.7159199808337326,"[0.7163392429324389, 0.7155007187350264]",0.7159199808337326,0.0004192620987062412,0.02,5.0,1000.0,1.8
177,218.64635705947876,sift,,,,,128,0.25,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,1000.0,1.8
178,210.48565912246704,sift,,,,,128,1.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,1000.0,1.8
179,211.48073291778564,sift,,,,,128,4.0,0.7196334451365597,"[0.7169381887877336, 0.7223287014853857]",0.7196334451365597,0.0026952563488260584,0.02,5.0,1000.0,1.8
180,214.18967509269714,sift,,,,,128,0.002,0.7499401054144705,"[0.7496406324868232, 0.7502395783421179]",0.7499401054144705,0.00029947292764731515,0.02,10.0,0.0,1.2
181,215.5599009990692,sift,,,,,128,0.25,0.7534139913751797,"[0.7533540967896503, 0.7534738859607092]",0.7534139913751797,5.989458552946303e-05,0.02,10.0,0.0,1.2
182,219.5573787689209,sift,,,,,128,1.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,0.0,1.2
183,226.22496676445007,sift,,,,,128,4.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,0.0,1.2
184,243.54844093322754,sift,,,,,128,0.002,0.740656444657403,"[0.7419741255390513, 0.7393387637757547]",0.740656444657403,0.0013176808816482977,0.02,10.0,0.0,1.6
185,235.53368997573853,sift,,,,,128,0.25,0.7447891710589363,"[0.7465261140392908, 0.7430522280785817]",0.7447891710589363,0.0017369429803545389,0.02,10.0,0.0,1.6
186,220.4865107536316,sift,,,,,128,1.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,0.0,1.6
187,219.27446818351746,sift,,,,,128,4.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,0.0,1.6
188,245.35950326919556,sift,,,,,128,0.002,0.7401772879731672,"[0.740656444657403, 0.7396981312889315]",0.7401772879731672,0.00047915668423575974,0.02,10.0,0.0,1.8
189,235.27388381958008,sift,,,,,128,0.25,0.745148538572113,"[0.7465261140392908, 0.7437709631049353]",0.745148538572113,0.0013775754671777607,0.02,10.0,0.0,1.8
190,218.46250987052917,sift,,,,,128,1.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,0.0,1.8
191,220.6001148223877,sift,,,,,128,4.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,0.0,1.8
192,215.13872408866882,sift,,,,,128,0.002,0.7499401054144705,"[0.7496406324868232, 0.7502395783421179]",0.7499401054144705,0.00029947292764731515,0.02,10.0,600.0,1.2
193,214.95672392845154,sift,,,,,128,0.25,0.7534139913751797,"[0.7533540967896503, 0.7534738859607092]",0.7534139913751797,5.989458552946303e-05,0.02,10.0,600.0,1.2
194,234.49017310142517,sift,,,,,128,1.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,600.0,1.2
195,238.62157011032104,sift,,,,,128,4.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,600.0,1.2
196,236.04812479019165,sift,,,,,128,0.002,0.740656444657403,"[0.7419741255390513, 0.7393387637757547]",0.740656444657403,0.0013176808816482977,0.02,10.0,600.0,1.6
197,221.35289025306702,sift,,,,,128,0.25,0.7447891710589363,"[0.7465261140392908, 0.7430522280785817]",0.7447891710589363,0.0017369429803545389,0.02,10.0,600.0,1.6
198,223.8320860862732,sift,,,,,128,1.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,600.0,1.6
199,219.70189476013184,sift,,,,,128,4.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,600.0,1.6
200,219.73951411247253,sift,,,,,128,0.002,0.7401772879731672,"[0.740656444657403, 0.7396981312889315]",0.7401772879731672,0.00047915668423575974,0.02,10.0,600.0,1.8
201,219.26673913002014,sift,,,,,128,0.25,0.745148538572113,"[0.7465261140392908, 0.7437709631049353]",0.745148538572113,0.0013775754671777607,0.02,10.0,600.0,1.8
202,234.9886839389801,sift,,,,,128,1.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,600.0,1.8
203,239.8542239665985,sift,,,,,128,4.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,600.0,1.8
204,214.4342930316925,sift,,,,,128,0.002,0.7499401054144705,"[0.7496406324868232, 0.7502395783421179]",0.7499401054144705,0.00029947292764731515,0.02,10.0,1000.0,1.2
205,228.79327917099,sift,,,,,128,0.25,0.7534139913751797,"[0.7533540967896503, 0.7534738859607092]",0.7534139913751797,5.989458552946303e-05,0.02,10.0,1000.0,1.2
206,228.0668921470642,sift,,,,,128,1.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,1000.0,1.2
207,228.3061969280243,sift,,,,,128,4.0,0.7536535697172976,"[0.753713464302827, 0.7535936751317681]",0.7536535697172976,5.989458552946303e-05,0.02,10.0,1000.0,1.2
208,235.75757431983948,sift,,,,,128,0.002,0.740656444657403,"[0.7419741255390513, 0.7393387637757547]",0.740656444657403,0.0013176808816482977,0.02,10.0,1000.0,1.6
209,239.0666630268097,sift,,,,,128,0.25,0.7447891710589363,"[0.7465261140392908, 0.7430522280785817]",0.7447891710589363,0.0017369429803545389,0.02,10.0,1000.0,1.6
210,231.66682982444763,sift,,,,,128,1.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,1000.0,1.6
211,220.8938660621643,sift,,,,,128,4.0,0.7447891710589363,"[0.7464063248682319, 0.7431720172496407]",0.7447891710589363,0.0016171538092956128,0.02,10.0,1000.0,1.6
212,224.14034819602966,sift,,,,,128,0.002,0.7401772879731672,"[0.740656444657403, 0.7396981312889315]",0.7401772879731672,0.00047915668423575974,0.02,10.0,1000.0,1.8
213,244.15516996383667,sift,,,,,128,0.25,0.745148538572113,"[0.7465261140392908, 0.7437709631049353]",0.745148538572113,0.0013775754671777607,0.02,10.0,1000.0,1.8
214,216.8162031173706,sift,,,,,128,1.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,1000.0,1.8
215,218.73246693611145,sift,,,,,128,4.0,0.7450287494010541,"[0.7464063248682319, 0.7436511739338764]",0.7450287494010541,0.0013775754671777607,0.02,10.0,1000.0,1.8
216,216.71173310279846,sift,,,,,128,0.002,0.7534738859607091,"[0.7543124101581217, 0.7526353617632966]",0.7534738859607091,0.0008385241974125379,0.02,15.0,0.0,1.2
217,234.09695601463318,sift,,,,,128,0.25,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,0.0,1.2
218,242.09402990341187,sift,,,,,128,1.0,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,0.0,1.2
219,235.6096522808075,sift,,,,,128,4.0,0.7594034499281265,"[0.7597029228557738, 0.7591039770004792]",0.7594034499281265,0.00029947292764731515,0.02,15.0,0.0,1.2
220,247.04129576683044,sift,,,,,128,0.002,0.7418543363679924,"[0.7426928605654048, 0.7410158121705798]",0.7418543363679924,0.0008385241974125379,0.02,15.0,0.0,1.6
221,227.47290682792664,sift,,,,,128,0.25,0.7439506468615238,"[0.7431720172496407, 0.7447292764734068]",0.7439506468615238,0.0007786296118830749,0.02,15.0,0.0,1.6
222,237.2419571876526,sift,,,,,128,1.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,0.0,1.6
223,248.66509580612183,sift,,,,,128,4.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,0.0,1.6
224,225.93974494934082,sift,,,,,128,0.002,0.740656444657403,"[0.7405366554863441, 0.7407762338284619]",0.740656444657403,0.00011978917105892606,0.02,15.0,0.0,1.8
225,222.63379502296448,sift,,,,,128,0.25,0.7456875898418782,"[0.7466459032103497, 0.7447292764734068]",0.7456875898418782,0.000958313368471464,0.02,15.0,0.0,1.8
226,231.06600189208984,sift,,,,,128,1.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,0.0,1.8
227,230.44033288955688,sift,,,,,128,4.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,0.0,1.8
228,5869.035186052322,sift,,,,,128,0.002,0.7534738859607091,"[0.7543124101581217, 0.7526353617632966]",0.7534738859607091,0.0008385241974125379,0.02,15.0,600.0,1.2
229,4614.733507156372,sift,,,,,128,0.25,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,600.0,1.2
230,202.8435561656952,sift,,,,,128,1.0,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,600.0,1.2
231,211.2939269542694,sift,,,,,128,4.0,0.7594034499281265,"[0.7597029228557738, 0.7591039770004792]",0.7594034499281265,0.00029947292764731515,0.02,15.0,600.0,1.2
232,215.76625108718872,sift,,,,,128,0.002,0.7418543363679924,"[0.7426928605654048, 0.7410158121705798]",0.7418543363679924,0.0008385241974125379,0.02,15.0,600.0,1.6
233,211.58404803276062,sift,,,,,128,0.25,0.7439506468615238,"[0.7431720172496407, 0.7447292764734068]",0.7439506468615238,0.0007786296118830749,0.02,15.0,600.0,1.6
234,208.4542360305786,sift,,,,,128,1.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,600.0,1.6
235,218.52760815620422,sift,,,,,128,4.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,600.0,1.6
236,228.80726504325867,sift,,,,,128,0.002,0.740656444657403,"[0.7405366554863441, 0.7407762338284619]",0.740656444657403,0.00011978917105892606,0.02,15.0,600.0,1.8
237,235.8246738910675,sift,,,,,128,0.25,0.7456875898418782,"[0.7466459032103497, 0.7447292764734068]",0.7456875898418782,0.000958313368471464,0.02,15.0,600.0,1.8
238,227.7550699710846,sift,,,,,128,1.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,600.0,1.8
239,238.36907196044922,sift,,,,,128,4.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,600.0,1.8
240,625.2505490779877,sift,,,,,128,0.002,0.7534738859607091,"[0.7543124101581217, 0.7526353617632966]",0.7534738859607091,0.0008385241974125379,0.02,15.0,1000.0,1.2
241,203.41160917282104,sift,,,,,128,0.25,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,1000.0,1.2
242,1078.016224861145,sift,,,,,128,1.0,0.7594633445136559,"[0.7597029228557738, 0.7592237661715381]",0.7594633445136559,0.00023957834211785212,0.02,15.0,1000.0,1.2
243,199.40608382225037,sift,,,,,128,4.0,0.7594034499281265,"[0.7597029228557738, 0.7591039770004792]",0.7594034499281265,0.00029947292764731515,0.02,15.0,1000.0,1.2
244,206.27768397331238,sift,,,,,128,0.002,0.7418543363679924,"[0.7426928605654048, 0.7410158121705798]",0.7418543363679924,0.0008385241974125379,0.02,15.0,1000.0,1.6
245,211.98026394844055,sift,,,,,128,0.25,0.7439506468615238,"[0.7431720172496407, 0.7447292764734068]",0.7439506468615238,0.0007786296118830749,0.02,15.0,1000.0,1.6
246,227.43785881996155,sift,,,,,128,1.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,1000.0,1.6
247,218.6081347465515,sift,,,,,128,4.0,0.7441303306181122,"[0.7434115955917585, 0.7448490656444657]",0.7441303306181122,0.0007187350263536119,0.02,15.0,1000.0,1.6
248,217.88825297355652,sift,,,,,128,0.002,0.740656444657403,"[0.7405366554863441, 0.7407762338284619]",0.740656444657403,0.00011978917105892606,0.02,15.0,1000.0,1.8
249,213.43655109405518,sift,,,,,128,0.25,0.7456875898418782,"[0.7466459032103497, 0.7447292764734068]",0.7456875898418782,0.000958313368471464,0.02,15.0,1000.0,1.8
250,215.3115577697754,sift,,,,,128,1.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,1000.0,1.8
251,220.1230058670044,sift,,,,,128,4.0,0.7458073790129373,"[0.7468854815524677, 0.7447292764734068]",0.7458073790129373,0.0010781025395304455,0.02,15.0,1000.0,1.8
252,195.04379796981812,sift,,,,,128,0.002,0.7338284619070436,"[0.7374221370388117, 0.7302347867752755]",0.7338284619070436,0.0035936751317680593,0.04,5.0,0.0,1.2
253,195.96606993675232,sift,,,,,128,0.25,0.5769645424053665,"[0.7425730713943459, 0.41135601341638717]",0.5769645424053665,0.16560852898897938,0.04,5.0,0.0,1.2
254,192.37335205078125,sift,,,,,128,1.0,0.6707594633445136,"[0.7425730713943459, 0.5989458552946814]",0.6707594633445136,0.07181360804983228,0.04,5.0,0.0,1.2
255,491.17001700401306,sift,,,,,128,4.0,0.7174173454719693,"[0.7022041207474844, 0.7326305701964543]",0.7174173454719693,0.015213224724484942,0.04,5.0,0.0,1.2
256,1308.972757101059,sift,,,,,128,0.002,0.7105294681360805,"[0.7087925251557259, 0.7122664111164351]",0.7105294681360805,0.0017369429803545944,0.04,5.0,0.0,1.6
257,193.56262183189392,sift,,,,,128,0.25,0.5851701006229038,"[0.5162913272640154, 0.654048873981792]",0.5851701006229038,0.06887877335888831,0.04,5.0,0.0,1.6
258,193.36396098136902,sift,,,,,128,1.0,0.6554264494489698,"[0.5943938667944417, 0.7164590321034978]",0.6554264494489698,0.061032582654528045,0.04,5.0,0.0,1.6
259,189.1816599369049,sift,,,,,128,4.0,0.7202323909918543,"[0.7240057498802108, 0.7164590321034978]",0.7202323909918543,0.003773358888356504,0.04,5.0,0.0,1.6
260,195.96899890899658,sift,,,,,128,0.002,0.5571394345951126,"[0.714183037853378, 0.4000958313368472]",0.5571394345951126,0.1570436032582654,0.04,5.0,0.0,1.8
261,200.04082775115967,sift,,,,,128,0.25,0.677467656923814,"[0.7043603258265453, 0.6505749880210829]",0.677467656923814,0.026892668902731176,0.04,5.0,0.0,1.8
262,198.414146900177,sift,,,,,128,1.0,0.6523718255869669,"[0.7165788212745567, 0.5881648298993771]",0.6523718255869669,0.06420699568758981,0.04,5.0,0.0,1.8
263,197.29572415351868,sift,,,,,128,4.0,0.7166387158600862,"[0.7165788212745567, 0.7166986104456157]",0.7166387158600862,5.989458552946303e-05,0.04,5.0,0.0,1.8
264,192.31116485595703,sift,,,,,128,0.002,0.5246166746526114,"[0.6115237182558697, 0.4377096310493531]",0.5246166746526114,0.0869070436032583,0.04,5.0,600.0,1.2
265,190.37619304656982,sift,,,,,128,0.25,0.580079060852899,"[0.4274077623382846, 0.7327503593675132]",0.580079060852899,0.1526712985146143,0.04,5.0,600.0,1.2
266,192.01207494735718,sift,,,,,128,1.0,0.6935194058457115,"[0.7425730713943459, 0.6444657402970771]",0.6935194058457115,0.049053665548634384,0.04,5.0,600.0,1.2
267,191.547119140625,sift,,,,,128,4.0,0.6972927647340681,"[0.7425730713943459, 0.6520124580737902]",0.6972927647340681,0.04528030666027788,0.04,5.0,600.0,1.2
268,197.90787982940674,sift,,,,,128,0.002,0.6840560613320557,"[0.7116674652611404, 0.6564446574029708]",0.6840560613320557,0.027611403929084843,0.04,5.0,600.0,1.6
269,194.67593502998352,sift,,,,,128,0.25,0.5635481552467657,"[0.5389314805941543, 0.5881648298993771]",0.5635481552467657,0.024616674652611414,0.04,5.0,600.0,1.6
270,272.6590232849121,sift,,,,,128,1.0,0.7165788212745567,"[0.7166986104456157, 0.7164590321034978]",0.7165788212745567,0.00011978917105892606,0.04,5.0,600.0,1.6
271,193.3153190612793,sift,,,,,128,4.0,0.5697771921418304,"[0.4230953521801629, 0.7164590321034978]",0.5697771921418304,0.14668183996166745,0.04,5.0,600.0,1.6
272,201.1246349811554,sift,,,,,128,0.002,0.7137637757546718,"[0.714183037853378, 0.7133445136559655]",0.7137637757546718,0.0004192620987062412,0.04,5.0,600.0,1.8
273,198.7291750907898,sift,,,,,128,0.25,0.7154408241494968,"[0.714183037853378, 0.7166986104456157]",0.7154408241494968,0.0012577862961188346,0.04,5.0,600.0,1.8
274,202.614914894104,sift,,,,,128,1.0,0.7012458073790129,"[0.7165788212745567, 0.6859127934834691]",0.7012458073790129,0.015333013895543812,0.04,5.0,600.0,1.8
275,204.81134510040283,sift,,,,,128,4.0,0.7166387158600862,"[0.7165788212745567, 0.7166986104456157]",0.7166387158600862,5.989458552946303e-05,0.04,5.0,600.0,1.8
276,194.47813606262207,sift,,,,,128,0.002,0.5261739338763776,"[0.6115237182558697, 0.4408241494968855]",0.5261739338763776,0.08534978437949212,0.04,5.0,1000.0,1.2
277,193.5907871723175,sift,,,,,128,0.25,0.7376617153809295,"[0.7425730713943459, 0.7327503593675132]",0.7376617153809295,0.004911356013416357,0.04,5.0,1000.0,1.2
278,192.27978992462158,sift,,,,,128,1.0,0.6707594633445136,"[0.7425730713943459, 0.5989458552946814]",0.6707594633445136,0.07181360804983228,0.04,5.0,1000.0,1.2
279,193.86615586280823,sift,,,,,128,4.0,0.7376018207954,"[0.7425730713943459, 0.7326305701964543]",0.7376018207954,0.00497125059894582,0.04,5.0,1000.0,1.2
280,197.83097076416016,sift,,,,,128,0.002,0.7056780067081936,"[0.7198131288931481, 0.6915428845232391]",0.7056780067081936,0.014135122184954496,0.04,5.0,1000.0,1.6
281,199.47925281524658,sift,,,,,128,0.25,0.7199928126497365,"[0.723646382367034, 0.7163392429324389]",0.7199928126497365,0.003653569717297578,0.04,5.0,1000.0,1.6
282,196.08777809143066,sift,,,,,128,1.0,0.7201724964063249,"[0.7238859607091519, 0.7164590321034978]",0.7201724964063249,0.003713464302827041,0.04,5.0,1000.0,1.6
283,197.48953104019165,sift,,,,,128,4.0,0.7168782942022041,"[0.7172975563009104, 0.7164590321034978]",0.7168782942022041,0.0004192620987062967,0.04,5.0,1000.0,1.6
284,198.07844400405884,sift,,,,,128,0.002,0.7141231432678485,"[0.7149017728797317, 0.7133445136559655]",0.7141231432678485,0.0007786296118830749,0.04,5.0,1000.0,1.8
285,200.33041095733643,sift,,,,,128,0.25,0.7166387158600862,"[0.7165788212745567, 0.7166986104456157]",0.7166387158600862,5.989458552946303e-05,0.04,5.0,1000.0,1.8
286,202.1279501914978,sift,,,,,128,1.0,0.7089722089123143,"[0.7165788212745567, 0.7013655965500719]",0.7089722089123143,0.007606612362242415,0.04,5.0,1000.0,1.8
287,203.3698980808258,sift,,,,,128,4.0,0.6835769046478198,"[0.7175371346430283, 0.6496166746526114]",0.6835769046478198,0.033960229995208424,0.04,5.0,1000.0,1.8
288,448.3987638950348,sift,,,,,128,0.002,0.6977120268327743,"[0.7576665069477719, 0.6377575467177767]",0.6977120268327743,0.0599544801149976,0.04,10.0,0.0,1.2
289,198.62180924415588,sift,,,,,128,0.25,0.5782822232870148,"[0.7609008145663632, 0.3956636320076665]",0.5782822232870148,0.18261859127934832,0.04,10.0,0.0,1.2
290,199.14723706245422,sift,,,,,128,1.0,0.7407163392429323,"[0.7609008145663632, 0.7205318639195016]",0.7407163392429323,0.02018447532343076,0.04,10.0,0.0,1.2
